,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,DefaultEng_Qlearntab_Language__training_results,10,0,,,-0.5,0.22360679774997896,0.02461636066436765
1,DefaultEng_Qlearntab_Language__training_results,10,1,-0.5,0.22360679774997896,-1.2,0.24944382578492943,0.0290236473083496
2,DefaultEng_Qlearntab_Language__training_results,10,2,-0.6,0.12472191289246472,-1.7,0.2603416558635551,0.0403774976730346
3,DefaultEng_Qlearntab_Language__training_results,10,3,-0.5666666666666667,0.08678055195451839,-2.0,0.3944053188733077,0.040306329727172796
4,DefaultEng_Qlearntab_Language__training_results,10,4,-0.5,0.09860132971832693,-2.3,0.5385164807134504,0.0439280271530151
5,DefaultEng_Qlearntab_Language__training_results,10,5,-0.45999999999999996,0.10770329614269009,-2.8,0.5333333333333333,0.026844024658203097
6,DefaultEng_Qlearntab_Language__training_results,10,6,-0.4666666666666666,0.0888888888888889,-3.6,0.6,0.0241556167602539
7,DefaultEng_Qlearntab_Language__training_results,10,7,-0.5142857142857145,0.0857142857142857,-4.0,0.6146362971528591,0.04053199291229245
8,DefaultEng_Qlearntab_Language__training_results,10,8,-0.5,0.07682953714410738,-4.9,0.6574360974438673,0.02489125728607175
9,DefaultEng_Qlearntab_Language__training_results,10,9,-0.5444444444444445,0.0730484552715408,-5.7,0.7310570733153768,0.02007865905761715
10,DefaultEng_Qlearntab_Language__training_results,10,10,-0.57,0.07310570733153769,-6.3,0.7461009761866464,0.03667724132537835
11,DefaultEng_Qlearntab_Language__training_results,10,11,-0.5727272727272726,0.0678273614715133,-6.5,0.8850612031567835,0.0350058078765869
12,DefaultEng_Qlearntab_Language__training_results,10,12,-0.5416666666666666,0.0737551002630653,-6.7,0.856997342145496,0.0465472936630249
13,DefaultEng_Qlearntab_Language__training_results,10,13,-0.5153846153846154,0.06592287247273046,-7.2,0.916515138991168,0.03803634643554685
14,DefaultEng_Qlearntab_Language__training_results,10,14,-0.5142857142857142,0.06546536707079771,-7.1,1.0268614533832907,0.04420769214630125
15,DefaultEng_Qlearntab_Language__training_results,10,15,-0.47333333333333333,0.06845743022555272,-7.3,1.0959521481849064,0.04446482658386225
16,DefaultEng_Qlearntab_Language__training_results,10,16,-0.45625,0.06849700926155665,-7.9,1.2600705447623863,0.03700566291809075
17,DefaultEng_Qlearntab_Language__training_results,10,17,-0.46470588235294114,0.07412179675072861,-8.0,1.4063348739819324,0.042758107185363756
18,DefaultEng_Qlearntab_Language__training_results,10,18,-0.4444444444444445,0.07812971522121846,-8.5,1.5293426329272615,0.034355878829956
19,DefaultEng_Qlearntab_Language__training_results,10,19,-0.4473684210526316,0.08049171752248745,-9.0,1.5347819244295116,0.03550946712493895
20,DefaultEng_Qlearntab_Language__training_results,10,20,-0.45,0.07673909622147558,-9.4,1.6613247725836149,0.0335868597030639
21,DefaultEng_Qlearntab_Language__training_results,10,21,-0.44761904761904764,0.07911070345636262,-9.8,1.7688665548562132,0.0397204160690307
22,DefaultEng_Qlearntab_Language__training_results,10,22,-0.4454545454545455,0.08040302522073696,-10.1,1.8882678717691395,0.032939076423645
23,DefaultEng_Qlearntab_Language__training_results,10,23,-0.4391304347826087,0.08209860312039735,-10.6,1.9787762772874438,0.01952922344207755
24,DefaultEng_Qlearntab_Language__training_results,10,24,-0.4416666666666667,0.08244901155364351,-11.2,2.0591260281974,0.0320237874984741
