,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,Qlearntab_Language__training_results,10,0,,,-0.6,0.14529663145135577,0.03402400016784665
1,Qlearntab_Language__training_results,10,1,-0.6,0.14529663145135577,-1.0,0.32489314482696546,0.029006242752075154
2,Qlearntab_Language__training_results,10,2,-0.5,0.16244657241348273,-1.85,0.38765677832043355,0.0210052728652954
3,Qlearntab_Language__training_results,10,3,-0.6166666666666667,0.12921892610681118,-2.15,0.3578485092263981,0.03700864315032955
4,Qlearntab_Language__training_results,10,4,-0.5375,0.08946212730659953,-2.6,0.2333333333333333,0.0305292606353759
5,Qlearntab_Language__training_results,10,5,-0.5199999999999999,0.04666666666666666,-3.3,0.3590109871423002,0.02979147434234615
6,Qlearntab_Language__training_results,10,6,-0.55,0.059835164523716705,-4.1,0.3858612300930075,0.023956418037414502
7,Qlearntab_Language__training_results,10,7,-0.5857142857142856,0.05512303287042965,-4.7,0.41633319989322654,0.0260388851165771
8,Qlearntab_Language__training_results,10,8,-0.5875,0.05204164998665332,-5.1,0.43969686527576396,0.0285068750381469
9,Qlearntab_Language__training_results,10,9,-0.5666666666666667,0.04885520725286266,-5.55,0.5398044913567216,0.03500843048095695
10,Qlearntab_Language__training_results,10,10,-0.5549999999999999,0.053980449135672154,-6.35,0.4716990566028301,0.0205163955688476
11,Qlearntab_Language__training_results,10,11,-0.5772727272727274,0.0428817324184391,-7.15,0.4597704741377907,0.031007170677185
12,Qlearntab_Language__training_results,10,12,-0.5958333333333334,0.03831420617814923,-7.95,0.48562674281111545,0.022585630416870048
13,Qlearntab_Language__training_results,10,13,-0.6115384615384616,0.03735590329316273,-8.35,0.6057593948462082,0.036905765533447196
14,Qlearntab_Language__training_results,10,14,-0.5964285714285714,0.04326852820330059,-8.3,0.7039570693980959,0.040509939193725544
15,Qlearntab_Language__training_results,10,15,-0.5533333333333332,0.046930471293206384,-8.75,0.8374896350934076,0.042009949684143
16,Qlearntab_Language__training_results,10,16,-0.546875,0.05234310219333797,-9.1,0.9854496999396322,0.045510888099670355
17,Qlearntab_Language__training_results,10,17,-0.5352941176470589,0.05796762940821366,-9.05,1.0709549217611563,0.0359210968017578
18,Qlearntab_Language__training_results,10,18,-0.5027777777777779,0.05949749565339757,-9.15,1.2383905325506614,0.0330077409744262
19,Qlearntab_Language__training_results,10,19,-0.481578947368421,0.06517844908161377,-9.3,1.4243907079480997,0.03550815582275385
20,Qlearntab_Language__training_results,10,20,-0.46499999999999997,0.07121953539740498,-9.7,1.4533486237727757,0.0250056982040405
21,Qlearntab_Language__training_results,10,21,-0.4619047619047619,0.06920707732251315,-10.0,1.5793810320642845,0.0435101985931396
22,Qlearntab_Language__training_results,10,22,-0.4545454545454546,0.07179004691201293,-10.25,1.7324516988617285,0.02676057815551755
23,Qlearntab_Language__training_results,10,23,-0.44565217391304346,0.07532398690703167,-10.65,1.8530005696467313,0.0192543268203735
24,Qlearntab_Language__training_results,10,24,-0.44375,0.0772083570686138,-10.8,1.9035055380358976,0.0320076942443847
25,Qlearntab_Language__training_results,10,25,-0.43200000000000005,0.07614022152143592,-10.85,2.0575740839909287,0.0415347814559936
26,Qlearntab_Language__training_results,10,26,-0.4173076923076923,0.07913746476888188,-11.05,2.1608254595562935,0.044054865837097154
27,Qlearntab_Language__training_results,10,27,-0.40925925925925927,0.08003057257615902,-11.05,2.3821675470508414,0.03507494926452635
28,Qlearntab_Language__training_results,10,28,-0.3946428571428571,0.08507741239467288,-11.25,2.5278998749510984,0.0445104837417602
29,Qlearntab_Language__training_results,10,29,-0.3879310344827586,0.08716896120521027,-11.4,2.702673573416598,0.0440127849578857
30,Qlearntab_Language__training_results,10,30,-0.38,0.09008911911388662,-11.65,2.8906458332582585,0.04285407066345215
31,Qlearntab_Language__training_results,10,31,-0.3758064516129032,0.09324663978252447,-11.7,3.103940148334765,0.041009783744811956
32,Qlearntab_Language__training_results,10,32,-0.365625,0.09699812963546141,-11.8,3.3343331833783156,0.035008192062377846
33,Qlearntab_Language__training_results,10,33,-0.3575757575757576,0.1010403994963126,-12.15,3.3838259083141047,0.040212869644165
34,Qlearntab_Language__training_results,10,34,-0.35735294117647054,0.09952429142100307,-12.45,3.5288099977187777,0.03181457519531245
35,Qlearntab_Language__training_results,10,35,-0.3557142857142857,0.10082314279196508,-12.45,3.772304041004354,0.0435101985931396
36,Qlearntab_Language__training_results,10,36,-0.3458333333333333,0.10478622336123204,-12.6,4.009571880720766,0.03925848007202145
37,Qlearntab_Language__training_results,10,37,-0.34054054054054056,0.10836680758704774,-12.9,4.165866589851918,0.025501966476440402
38,Qlearntab_Language__training_results,10,38,-0.33947368421052626,0.10962806815399782,-13.1,4.319079119956526,0.041304945945739704
39,Qlearntab_Language__training_results,10,39,-0.3358974358974359,0.11074561846042376,-13.3,4.477226323914791,0.036961317062377846
40,Qlearntab_Language__training_results,10,40,-0.33249999999999996,0.11193065809786978,-13.3,4.727108583008809,0.04062736034393305
41,Qlearntab_Language__training_results,10,41,-0.32439024390243903,0.11529533129289779,-13.6,4.886944057611282,0.030419826507568297
42,Qlearntab_Language__training_results,10,42,-0.3238095238095238,0.11635581089550671,-13.75,5.03336092707668,0.0390102863311767
43,Qlearntab_Language__training_results,10,43,-0.31976744186046513,0.11705490528085304,-14.25,5.160883860563248,0.02211630344390865
44,Qlearntab_Language__training_results,10,44,-0.32386363636363635,0.1172928150128011,-14.5,5.30461015427985,0.03104460239410395
45,Qlearntab_Language__training_results,10,45,-0.32222222222222224,0.1178802256506633,-14.8,5.438136935875496,0.0310839414596557
46,Qlearntab_Language__training_results,10,46,-0.3217391304347825,0.11822036817120646,-14.8,5.560875230872685,0.0430099964141845
47,Qlearntab_Language__training_results,10,47,-0.31489361702127666,0.11831649427388691,-15.1,5.742531381426371,0.030518889427185003
48,Qlearntab_Language__training_results,10,48,-0.3145833333333333,0.11963607044638273,-15.5,5.910442735813733,0.01927113533020015
