,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,DefaultEng_Qlearntab_Language__training_results,10,0,,,-0.8,0.19999999999999998,0.02605879306793205
1,DefaultEng_Qlearntab_Language__training_results,10,1,-0.8,0.19999999999999998,-1.8,0.19999999999999998,0.0239189863204956
2,DefaultEng_Qlearntab_Language__training_results,10,2,-0.9,0.09999999999999999,-2.5,0.26874192494328497,0.03132355213165275
3,DefaultEng_Qlearntab_Language__training_results,10,3,-0.8333333333333333,0.08958064164776165,-3.2,0.29059326290271154,0.0375642776489257
4,DefaultEng_Qlearntab_Language__training_results,10,4,-0.8,0.07264831572567788,-3.8,0.3590109871423002,0.042644262313842704
5,DefaultEng_Qlearntab_Language__training_results,10,5,-0.76,0.07180219742846004,-4.3,0.44845413490245695,0.0296834707260131
6,DefaultEng_Qlearntab_Language__training_results,10,6,-0.7166666666666666,0.07474235581707617,-4.7,0.44845413490245695,0.03365647792816159
7,DefaultEng_Qlearntab_Language__training_results,10,7,-0.6714285714285714,0.06406487641463672,-5.5,0.34156502553198664,0.0321029424667358
8,DefaultEng_Qlearntab_Language__training_results,10,8,-0.6875,0.04269562819149833,-5.8,0.5120763831912405,0.03656756877899165
9,DefaultEng_Qlearntab_Language__training_results,10,9,-0.6444444444444444,0.05689737591013783,-6.5,0.5,0.016881227493286098
10,DefaultEng_Qlearntab_Language__training_results,10,10,-0.65,0.049999999999999996,-7.2,0.5925462944877059,0.02906656265258785
11,DefaultEng_Qlearntab_Language__training_results,10,11,-0.6545454545454545,0.05386784495342782,-7.9,0.6227180564089801,0.02233183383941645
12,DefaultEng_Qlearntab_Language__training_results,10,12,-0.6583333333333333,0.051893171367415024,-8.3,0.6333333333333334,0.0430669784545898
13,DefaultEng_Qlearntab_Language__training_results,10,13,-0.6384615384615385,0.04871794871794872,-8.6,0.6699917080747261,0.031522035598754855
