,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,Qlearntab_Language__training_results,10,0,,,-0.5,0.26874192494328497,0.03155100345611565
1,Qlearntab_Language__training_results,10,1,-0.5,0.26874192494328497,-1.3,0.334995854037363,0.03035986423492425
2,Qlearntab_Language__training_results,10,2,-0.65,0.1674979270186815,-1.8,0.4898979485566356,0.033507227897644
3,Qlearntab_Language__training_results,10,3,-0.6,0.1632993161855452,-2.65,0.4716990566028301,0.0215191841125488
4,Qlearntab_Language__training_results,10,4,-0.6625,0.11792476415070753,-2.95,0.5294126724756197,0.0338013172149658
5,Qlearntab_Language__training_results,10,5,-0.59,0.10588253449512393,-3.45,0.693020762876393,0.0388082265853881
6,Qlearntab_Language__training_results,10,6,-0.575,0.11550346047939883,-4.25,0.6335525936249403,0.032451510429382296
7,Qlearntab_Language__training_results,10,7,-0.6071428571428572,0.09050751337499147,-4.85,0.6193634725354015,0.03747224807739255
8,Qlearntab_Language__training_results,10,8,-0.60625,0.07742043406692518,-5.0,0.752772652709081,0.04222548007965085
9,Qlearntab_Language__training_results,10,9,-0.5555555555555556,0.08364140585656454,-5.25,0.8070866675202167,0.04004585742950435
10,Qlearntab_Language__training_results,10,10,-0.5249999999999999,0.08070866675202168,-5.4,0.9030811456096044,0.04945790767669675
11,Qlearntab_Language__training_results,10,11,-0.49090909090909085,0.08209828596450948,-6.1,1.0847426730181986,0.033629655838012654
12,Qlearntab_Language__training_results,10,12,-0.5083333333333333,0.09039522275151655,-6.5,1.046156988431681,0.04404830932617185
13,Qlearntab_Language__training_results,10,13,-0.5,0.08047361449474469,-6.9,0.9938701010583715,0.03429424762725825
14,Qlearntab_Language__training_results,10,14,-0.4928571428571429,0.07099072150416941,-7.4,1.0132456102380443,0.0425677299499511
15,Qlearntab_Language__training_results,10,15,-0.49333333333333335,0.06754970734920294,-7.4,1.0349449797506682,0.0467215776443481
16,Qlearntab_Language__training_results,10,16,-0.4625,0.06468406123441676,-7.5,1.0514540197058335,0.04377412796020505
17,Qlearntab_Language__training_results,10,17,-0.4411764705882352,0.06185023645328434,-8.1,0.9480975102218593,0.033060908317565904
18,Qlearntab_Language__training_results,10,18,-0.45,0.0526720839012144,-8.45,1.0313152336269988,0.04582619667053215
19,Qlearntab_Language__training_results,10,19,-0.4447368421052632,0.05427974913826309,-8.85,1.0981044273352754,0.042646050453186
20,Qlearntab_Language__training_results,10,20,-0.44250000000000006,0.05490522136676377,-9.05,1.1629703349613008,0.05013239383697505
21,Qlearntab_Language__training_results,10,21,-0.4309523809523809,0.05537953976006194,-9.05,1.0787080750189604,0.038332104682922294
22,Qlearntab_Language__training_results,10,22,-0.4113636363636363,0.04903218522813456,-9.55,1.0204846343227754,0.03554821014404295
23,Qlearntab_Language__training_results,10,23,-0.41521739130434787,0.04436889714446849,-9.8,0.9695359714832658,0.04456293582916255
24,Qlearntab_Language__training_results,10,24,-0.4083333333333334,0.04039733214513608,-10.3,1.085766498326822,0.024536252021789502
25,Qlearntab_Language__training_results,10,25,-0.41200000000000003,0.04343065993307288,-10.4,1.1897712198383164,0.04781424999237055
26,Qlearntab_Language__training_results,10,26,-0.4,0.045760431532242934,-10.9,1.1348029687032801,0.03314185142517085
27,Qlearntab_Language__training_results,10,27,-0.40370370370370373,0.042029739581602964,-11.0,1.247219128924647,0.044570326805114704
28,Qlearntab_Language__training_results,10,28,-0.3928571428571429,0.0445435403187374,-11.1,1.2862520921049823,0.04287624359130855
29,Qlearntab_Language__training_results,10,29,-0.38275862068965516,0.04435352041741319,-11.4,1.4734690736866896,0.04254484176635735
30,Qlearntab_Language__training_results,10,30,-0.38,0.04911563578955633,-11.4,1.5790292376436015,0.03494310379028315
