,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,DefaultEng_Qlearntab_Language__training_results,10,0,,,-0.6,0.22110831935702666,0.030055880546569803
1,DefaultEng_Qlearntab_Language__training_results,10,1,-0.6,0.22110831935702666,-1.4,0.22110831935702666,0.0265063047409057
2,DefaultEng_Qlearntab_Language__training_results,10,2,-0.7,0.11055415967851333,-2.0,0.21081851067789192,0.0305197238922119
3,DefaultEng_Qlearntab_Language__training_results,10,3,-0.6666666666666666,0.07027283689263066,-2.6,0.22110831935702666,0.034007906913757255
4,DefaultEng_Qlearntab_Language__training_results,10,4,-0.65,0.055277079839256664,-3.6,0.22110831935702666,0.02350533008575435
5,DefaultEng_Qlearntab_Language__training_results,10,5,-0.72,0.04422166387140534,-4.0,0.3333333333333333,0.0413267612457275
6,DefaultEng_Qlearntab_Language__training_results,10,6,-0.6666666666666667,0.05555555555555556,-4.5,0.5,0.033742547035217244
7,DefaultEng_Qlearntab_Language__training_results,10,7,-0.6428571428571428,0.07142857142857142,-5.0,0.6497862896539309,0.037008166313171345
8,DefaultEng_Qlearntab_Language__training_results,10,8,-0.625,0.08122328620674137,-5.4,0.7023769168568492,0.0348932743072509
9,DefaultEng_Qlearntab_Language__training_results,10,9,-0.6,0.07804187965076102,-5.7,0.8034647195462632,0.03550839424133295
10,DefaultEng_Qlearntab_Language__training_results,10,10,-0.57,0.08034647195462633,-6.0,0.8164965809277259,0.036757826805114704
11,DefaultEng_Qlearntab_Language__training_results,10,11,-0.5454545454545455,0.07422696190252055,-6.6,0.7630348761506398,0.03465294837951655
12,DefaultEng_Qlearntab_Language__training_results,10,12,-0.55,0.06358623967921999,-6.5,0.6871842709362768,0.046222567558288546
13,DefaultEng_Qlearntab_Language__training_results,10,13,-0.5,0.05286032853355975,-6.9,0.604611904907235,0.04200971126556395
14,DefaultEng_Qlearntab_Language__training_results,10,14,-0.4928571428571429,0.043186564636231085,-6.9,0.5467073155618908,0.0400429964065551
15,DefaultEng_Qlearntab_Language__training_results,10,15,-0.4600000000000001,0.03644715437079272,-7.2,0.5925462944877059,0.050553798675537095
16,DefaultEng_Qlearntab_Language__training_results,10,16,-0.45,0.03703414340548162,-7.4,0.7333333333333333,0.0293110609054565
