,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,Qlearntab_Language__training_results,10,0,,,-0.65,0.18333333333333332,0.028602123260498
1,Qlearntab_Language__training_results,10,1,-0.65,0.18333333333333332,-1.2,0.3,0.02900671958923335
2,Qlearntab_Language__training_results,10,2,-0.6,0.15,-2.15,0.3166666666666666,0.02350580692291255
3,Qlearntab_Language__training_results,10,3,-0.7166666666666666,0.10555555555555556,-2.75,0.3515837184954831,0.02575242519378655
4,Qlearntab_Language__training_results,10,4,-0.6875,0.08789592962387077,-3.2,0.36666666666666664,0.03105890750885005
5,Qlearntab_Language__training_results,10,5,-0.64,0.07333333333333332,-3.3,0.5385164807134504,0.046290516853332506
6,Qlearntab_Language__training_results,10,6,-0.55,0.08975274678557504,-3.7,0.6420453428086074,0.0381908416748046
7,Qlearntab_Language__training_results,10,7,-0.5285714285714286,0.09172076325837249,-4.35,0.7924995618645826,0.02512347698211665
8,Qlearntab_Language__training_results,10,8,-0.54375,0.09906244523307282,-4.3,0.7999999999999999,0.0492974519729614
9,Qlearntab_Language__training_results,10,9,-0.47777777777777775,0.08888888888888886,-4.7,0.99498743710662,0.040361046791076646
10,Qlearntab_Language__training_results,10,10,-0.47000000000000003,0.09949874371066199,-4.9,1.120019841094096,0.04005014896392815
11,Qlearntab_Language__training_results,10,11,-0.44545454545454544,0.10181998555400874,-4.9,1.2948616399703352,0.046375274658203056
12,Qlearntab_Language__training_results,10,12,-0.4083333333333333,0.10790513666419461,-5.05,1.3833333333333333,0.047372460365295355
13,Qlearntab_Language__training_results,10,13,-0.3884615384615384,0.1064102564102564,-4.95,1.5228810415349805,0.04702806472778315
14,Qlearntab_Language__training_results,10,14,-0.35357142857142854,0.1087772172524986,-5.25,1.7131030973710315,0.04507839679718015
15,Qlearntab_Language__training_results,10,15,-0.35,0.11420687315806875,-5.35,1.8469945557280045,0.040146470069885254
16,Qlearntab_Language__training_results,10,16,-0.334375,0.11543715973300028,-5.55,2.018594120228785,0.04702556133270255
17,Qlearntab_Language__training_results,10,17,-0.32647058823529407,0.11874083060169321,-5.55,2.1965250333702597,0.0454211235046386
18,Qlearntab_Language__training_results,10,18,-0.30833333333333335,0.12202916852057,-5.85,2.3933356545949747,0.044363617897033594
19,Qlearntab_Language__training_results,10,19,-0.3078947368421052,0.1259650344523671,-5.85,2.5430187660425245,0.0458745956420898
20,Qlearntab_Language__training_results,10,20,-0.29250000000000004,0.12715093830212623,-5.85,2.6583725179975137,0.046074151992797796
21,Qlearntab_Language__training_results,10,21,-0.2785714285714286,0.12658916752369115,-5.8,2.7900617277122106,0.0466086864471435
22,Qlearntab_Language__training_results,10,22,-0.26363636363636356,0.12682098762328228,-5.65,2.9364093720052047,0.046711683273315346
23,Qlearntab_Language__training_results,10,23,-0.2456521739130435,0.12766997269587846,-5.4,2.989611643303822,0.04611670970916745
24,Qlearntab_Language__training_results,10,24,-0.225,0.12456715180432591,-5.2,3.0443025108845174,0.04676985740661615
25,Qlearntab_Language__training_results,10,25,-0.20800000000000005,0.12177210043538068,-5.2,3.2069369255481845,0.04623615741729735
26,Qlearntab_Language__training_results,10,26,-0.2,0.1233437279056994,-5.15,3.356626944485259,0.046142458915710394
27,Qlearntab_Language__training_results,10,27,-0.19074074074074077,0.124319516462417,-5.1,3.510144029966735,0.0464522838592529
28,Qlearntab_Language__training_results,10,28,-0.1821428571428571,0.12536228678452624,-5.05,3.6670075599110024,0.047044157981872545
29,Qlearntab_Language__training_results,10,29,-0.17413793103448277,0.12644853654865526,-4.8,3.7380922050336496,0.046895146369934054
30,Qlearntab_Language__training_results,10,30,-0.15999999999999998,0.12460307350112165,-4.65,3.855767685486827,0.048020839691162054
31,Qlearntab_Language__training_results,10,31,-0.15,0.12437960275763958,-4.5,3.975620147292187,0.047754406929016044
32,Qlearntab_Language__training_results,10,32,-0.140625,0.12423812960288085,-4.2,4.0601039942893635,0.04672455787658685
33,Qlearntab_Language__training_results,10,33,-0.1272727272727273,0.12303345437240494,-4.05,4.184262844941215,0.04740905761718745
34,Qlearntab_Language__training_results,10,34,-0.11911764705882351,0.12306655426297693,-3.75,4.2760638702225,0.046640038490295355
35,Qlearntab_Language__training_results,10,35,-0.10714285714285714,0.12217325343492855,-3.5,4.3994949205057114,0.0476244688034057
36,Qlearntab_Language__training_results,10,36,-0.09722222222222225,0.12220819223626976,-3.25,4.4958314025327955,0.04692387580871575
37,Qlearntab_Language__training_results,10,37,-0.08783783783783783,0.12150895682521066,-2.95,4.582242294384316,0.04614305496215815
38,Qlearntab_Language__training_results,10,38,-0.07763157894736841,0.12058532353642937,-2.7,4.688164767677101,0.046586275100707994
39,Qlearntab_Language__training_results,10,39,-0.06923076923076923,0.12020935301736156,-2.5,4.81606109226663,0.046424150466918904
40,Qlearntab_Language__training_results,10,40,-0.06250000000000001,0.12040152730666574,-2.25,4.926825662747882,0.04608368873596185
41,Qlearntab_Language__training_results,10,41,-0.0548780487804878,0.12016647957921664,-2.0,5.040943474302316,0.0455706119537353
42,Qlearntab_Language__training_results,10,42,-0.04761904761904764,0.12002246367386467,-1.75,5.158191974368968,0.046400189399719155
43,Qlearntab_Language__training_results,10,43,-0.040697674418604626,0.1199579528923016,-1.5,5.2783625407043715,0.0460016727447509
44,Qlearntab_Language__training_results,10,44,-0.034090909090909075,0.11996278501600845,-1.25,5.401260141032934,0.04619085788726805
45,Qlearntab_Language__training_results,10,45,-0.02777777777777779,0.1200280031340652,-1.0,5.526702854726717,0.04666447639465325
46,Qlearntab_Language__training_results,10,46,-0.0217391304347826,0.1201457142331895,-0.75,5.6515730356934935,0.046174645423889105
47,Qlearntab_Language__training_results,10,47,-0.015957446808510623,0.12024623480198923,-0.5,5.781195570314347,0.045770525932312
48,Qlearntab_Language__training_results,10,48,-0.010416666666666657,0.12044157438154887,-0.2,5.9067757702489425,0.0468664169311523
49,Qlearntab_Language__training_results,10,49,-0.004081632653061246,0.12054644429079475,0.05,6.040350431335365,0.04548966884613035
50,Qlearntab_Language__training_results,10,50,0.001000000000000012,0.1208070086267073,0.3,6.175759062657804,0.04634475708007805
51,Qlearntab_Language__training_results,10,51,0.0058823529411764774,0.12109331495407459,0.55,6.31288365170783,0.0466169118881225
52,Qlearntab_Language__training_results,10,52,0.010576923076923067,0.12140160868668905,0.8,6.451614784945962,0.046263575553894
53,Qlearntab_Language__training_results,10,53,0.015094339622641506,0.121728580848037,1.05,6.591851029870137,0.045691728591918904
54,Qlearntab_Language__training_results,10,54,0.019444444444444448,0.12207131536796552,1.3,6.728958975123038,0.04571187496185295
55,Qlearntab_Language__training_results,10,55,0.023636363636363622,0.1223447086386007,1.55,6.871620381443277,0.04656183719635005
56,Qlearntab_Language__training_results,10,56,0.027678571428571424,0.12270750681148711,1.8,7.015538309907356,0.0464445352554321
57,Qlearntab_Language__training_results,10,57,0.031578947368421054,0.1230796194720589,2.05,7.160636998355818,0.046076297760009696
58,Qlearntab_Language__training_results,10,58,0.03534482758620689,0.12345925859234169,2.3,7.3068461048526245,0.045564532279968206
